text,emotion
I feel listless and bored,bored
I am just passing time and it feels pointless,bored
I feel like everything has become tedious,bored
I have lost my spark and feel very dull,bored
I am not excited about anything in my life right now,bored
I feel like the same thing happens every single day,bored
I am deeply bored and nothing helps,bored
I feel absolutely no enthusiasm for anything,bored
I am so bored even my thoughts are boring,bored
I feel like a machine just going through the same routine,bored
I have no idea what to do with myself,bored
I am completely zoned out because I have nothing to focus on,bored
I feel like boredom has taken over my entire day,bored
I am restless and bored and I cannot shake the feeling,bored
I feel zero motivation to do anything,bored
I am so bored I am considering doing things I hate just for something to do,bored
I feel an endless flatness and absence of interest,bored
I am aimlessly wandering through my day,bored
I feel like everything has lost its color and interest,bored
I have nothing on my agenda and it is making me restless,bored
I feel disengaged from life right now,bored
I am bored beyond belief and I need stimulation,bored
I feel like I have been stuck in the same moment all day,bored
I am deeply uninterested in everything happening around me,bored
I feel like the world is moving and I am standing still out of boredom,bored
I am so bored I cannot find the energy to even look for something to do,bored
I feel I am losing my mind from the monotony,bored
I am sitting in silence with nothing to think about,bored
I feel completely unengaged with life today,bored
I am bored and everything feels meaningless and dull,bored
I feel work pressure building and I cannot escape it,stressed
My mind is full of tasks and I feel overwhelmed,stressed
I have back to back meetings and zero energy,stressed
I feel wound up tight from all the responsibilities,stressed
The workload never seems to end and I feel exhausted,stressed
I feel like I am carrying the weight of the world,stressed
I am anxious about everything that could go wrong,stressed
I feel like I cannot breathe because of the pressure,stressed
I am in a cycle of worry and I cannot break out,stressed
I feel like I need help but there is no time to ask,stressed
I am running on coffee and stress at this point,stressed
I feel a knot of anxiety that never loosens,stressed
I am behind on everything and it is stressing me out,stressed
I feel like I am barely keeping my head above water,stressed
I have been tossing and turning from work anxiety,stressed
I feel pressure from every direction right now,stressed
I am stressed and my body is showing it,stressed
I feel like the demands on me will never stop,stressed
My nerves are shot from all this pressure,stressed
I feel anxious restless and completely overwhelmed,stressed
I am in love with every little thing about you,love
I feel a warmth in my heart that belongs only to you,love
I love the sound of your voice,love
I feel my heart full whenever I think of you,love
I love you in a way that is quiet and certain,love
I feel a tenderness for you that never fades,love
I love being in your company more than anything,love
I feel deep love and it makes everything better,love
I love you and that love is unconditional,love
I feel like loving you is the most natural thing in the world,love
I love how you make me feel safe and understood,love
I feel so much love it is hard to put into words,love
I love you and I am proud to be yours,love
I feel romantic feelings that take me by surprise,love
I love spending lazy mornings with you,love
I feel romantic joy whenever we are together,love
I love you with a love that is quiet and constant,love
I feel deep devotion and love,love
I love you and there is nothing more to say,love
I feel a love for you that grows with every passing day,love
I had an average day nothing worth noting,neutral
I am just passing time today with no particular feelings,neutral
I feel okay about life at the moment,neutral
Everything is as it should be and I feel neutral,neutral
I have a calm and ordinary feeling today,neutral
I feel like today was functional and that is fine,neutral
I am feeling middling not high not low,neutral
I had no strong reactions to anything today,neutral
I feel a quiet neutrality today,neutral
I am getting through the day without drama,neutral
I feel like a grey kind of okay today,neutral
I am in a steady unremarkable mood,neutral
I feel okay and unaffected,neutral
I had a routine day and I am fine with that,neutral
I feel no pull in any emotional direction today,neutral
I am okay and that is genuinely good enough,neutral
I feel like I am just coasting today,neutral
Nothing lifted me up or brought me down today,neutral
I am simply moving through the day calmly,neutral
I feel muted and normal and peaceful,neutral
